Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00015,0.2848299341941908,,10,Reading/Writing,17,0.7832823190340243,0.2663159884715684,0.4841657893325644,55,1,High,28,8,B
S00016,0.3870574858790151,0.0,28,Reading/Writing,13,0.6082331920955949,0.42576323446691655,0.5467765126946186,76,1,Medium,5,8,A
S00017,0.0603088148958069,1.0,11,Visual,20,0.663396963853875,0.4113061175894027,0.6221692638091791,93,0,Medium,6,9,A
S00018,0.0,1.0,8,Kinesthetic,9,0.7111361774518882,0.0284454470980756,0.702478607260397,69,0,Low,1,5,A
S00019,0.47862552003759135,1.0,11,Kinesthetic,11,0.0,0.0,0.8780191407758404,96,1,Medium,13,7,B
S00020,0.18046583607498173,0.0,28,Auditory,19,0.0,0.0,0.9835812533846697,80,1,Medium,20,8,C
S00021,0.05646130837373187,1.0,30,Reading/Writing,0,0.6210743921110499,0.48443802584661894,0.6135132592164955,90,1,Low,26,10,A
S00022,0.1317125998320369,1.0,48,Visual,16,0.7244192990762024,0.4491399654272457,0.5061044967469086,82,1,Medium,29,9,B
S00023,0.0,0.0,14,Reading/Writing,4,0.6890109683920496,0.5512087747136398,0.47056643751349053,73,1,High,12,9,B
S00024,0.409567224547853,1.0,41,Reading/Writing,6,0.6436056385751974,0.23169802988707114,0.6036078971624135,100,0,Medium,23,7,A
S00025,0.373935344067069,0.0,36,Visual,3,0.5876126835339655,0.5406036688512483,0.4718382835591281,66,1,Low,8,7,B
S00026,0.257310712659302,0.0,38,Reading/Writing,7,0.7076044598130803,0.580235657046726,0.3105055682189213,50,1,Low,19,10,C
S00027,0.07210621448036877,1.0,48,Kinesthetic,1,0.7931683592840557,0.5710812186845202,0.19887405393804755,86,1,Low,30,9,D
S00028,0.06079980999378542,1.0,40,Auditory,16,0.6687979099316388,0.6687979099316389,0.31893901367951616,74,0,Medium,29,7,C
S00029,0.4542226634743714,0.0,39,Kinesthetic,9,0.0,0.48299009882774824,0.7486002514163417,91,1,Medium,21,6,A
S00030,0.8872168012345951,1.0,39,Visual,5,0.0,0.46135273664198945,0.0,79,0,Low,20,5,D
S00031,0.16637748252518367,1.0,23,Kinesthetic,3,0.9150761538885097,0.16471370769993182,0.32836498045457924,81,1,Medium,9,5,C
S00032,0.3321100459800346,0.0,6,Auditory,18,0.0,0.6393118385115666,0.6935295887690013,76,0,Medium,16,7,B
S00033,0.37825896090864436,1.0,25,Auditory,12,0.8321697139990173,0.08321697139990182,0.3968484109406692,85,1,High,14,4,C
S00034,0.3529172723124387,,6,Visual,10,0.5545842850624034,0.5102175422574114,0.5545842850624036,71,1,Medium,2,7,A
S00035,0.9492585780329728,0.0,32,Auditory,5,0.0,0.0626510661501762,0.3081931146879578,96,1,High,0,10,D
S00036,0.08286102661918106,1.0,41,Auditory,12,0.9114712928109907,0.1276059809935388,0.3821921588203414,67,0,Medium,15,5,C
S00037,0.5828336952502201,0.0,26,Kinesthetic,3,0.8013963309690524,0.048083779858143154,0.12552591168706312,76,0,Low,19,4,D
S00038,0.14933094791528828,0.0,11,Visual,3,0.8213202135340852,0.13141123416545372,0.5346629427687676,62,0,Medium,22,7,B
S00039,0.1858783154078667,0.0,20,Kinesthetic,1,0.6815538231621777,0.19083507048540982,0.6815538231621778,62,0,High,2,4,A
S00040,0.34614807937522524,1.0,12,Visual,8,0.6346048121879128,0.6092206197003964,0.3260498060490937,58,1,Medium,0,5,C
S00041,0.8753464969713463,1.0,41,Reading/Writing,14,0.0,0.3209603822228271,0.36159776448889935,74,1,Low,26,9,C
S00042,0.8404616575393336,0.0,46,Kinesthetic,8,0.0,0.49923422457836414,0.21068790002246313,88,1,Low,23,5,D
S00043,0.4587152952587074,,24,Auditory,19,0.0,0.5766706568966606,0.6760408503708122,54,1,High,17,9,A
S00044,0.25300484338984164,0.0,38,Auditory,5,0.6957633193220643,0.6401022537762994,0.2053559286159693,92,0,High,16,5,D
S00045,0.30880675386037687,0.0,45,Visual,9,0.0,0.9511248018899605,0.0,58,1,Low,24,8,D
S00046,0.6323930973357242,,6,Visual,13,0.0,0.43129209238296395,0.6434796822667007,90,0,Medium,6,10,A
S00047,0.637046062357118,0.0,23,Visual,10,0.0,0.770825735452113,0.0,65,1,Medium,11,6,D
S00048,0.444485185937892,1.0,35,Auditory,16,0.6984767207595444,0.0,0.5608593317746894,88,1,High,8,4,B
S00049,0.07325031846669229,1.0,12,Kinesthetic,5,0.8057535031336142,0.0,0.5877037374667929,66,1,Low,0,8,B
S00050,0.40485528471283894,0.0,38,Kinesthetic,6,0.6362011616916038,0.483512882885619,0.444472240287262,100,1,Low,12,9,B
S00051,0.06538976168270656,1.0,44,Auditory,17,0.7192873785097713,0.6905158833693806,0.039213020774020085,66,1,High,4,4,D
S00052,0.16379947056098404,0.0,33,Visual,9,0.6005980587236079,0.588586097549136,0.515769435962673,79,0,High,21,7,A
S00053,0.36993961986550017,0.0,26,Visual,3,0.8138671637041002,0.19532811928898414,0.4032515881097569,71,1,Low,10,6,C
S00054,0.8023869023956355,1.0,47,Kinesthetic,2,0.0,0.3530502370540801,0.48117646345181403,84,1,Medium,11,10,D
S00055,0.3825584647928008,1.0,39,Reading/Writing,15,0.6011633018172582,0.4568841093811164,0.5324552715097968,63,0,Medium,5,5,A
S00056,0.32347232977386065,1.0,21,Visual,1,0.7116391255024931,0.5550785178919448,0.28429429452523236,74,1,Medium,18,8,C
S00057,0.21613481700127143,0.0,5,Visual,19,0.7924943290046618,0.332847618181958,0.4630884823075126,77,1,High,30,6,C
S00058,0.7682132923085389,1.0,19,Reading/Writing,5,0.0,0.04609279753851234,0.6385325297395185,71,0,Medium,29,9,A
S00059,0.7048238944466525,0.0,36,Reading/Writing,17,0.7048238944466524,0.028192955777866163,0.0751778749275052,51,1,Low,27,7,D
S00060,0.14029971455204807,1.0,14,Kinesthetic,2,0.7716484300362638,0.03086593720145063,0.6196143836612085,77,1,High,19,9,B
S00061,0.4771335087316305,0.0,41,Kinesthetic,6,0.7497812280068477,0.13496062104123266,0.43812938242276267,53,0,Low,11,6,C
S00062,0.4502690266872297,0.0,32,Reading/Writing,7,0.6191199116949406,0.26003036291187515,0.5885002539616291,89,0,Low,18,10,A
S00063,0.0,1.0,21,Kinesthetic,12,0.6900103181066378,0.6900103181066379,0.2185669732890876,75,0,Medium,28,4,C
S00064,0.16396460353600598,0.0,21,Kinesthetic,10,0.9018053194480323,0.39679434055713436,0.04916325766608335,83,1,Low,12,6,D
S00065,0.3808742568026877,0.0,31,Kinesthetic,6,0.6982694708049272,0.5306847978117448,0.2927937704568094,77,1,Low,11,6,C
S00066,0.4062552413467783,0.0,9,Kinesthetic,11,0.0,0.5660489696098444,0.7173180904465637,87,0,Medium,23,5,A
S00067,0.8168580919918639,1.0,12,Kinesthetic,14,0.0,0.20966024361124516,0.5373876066642074,73,1,Medium,4,7,C
S00068,0.6945099470826175,1.0,42,Auditory,11,0.0,0.5602380239799782,0.45143027134908553,60,0,Medium,21,7,C
S00069,0.08650404035813425,1.0,11,Visual,3,0.0,0.7802664440303702,0.6194362980338813,73,0,Medium,2,9,B
S00070,0.0,0.0,35,Visual,2,0.0,0.9521979614290259,0.3054816561602468,96,1,High,5,9,D
S00071,0.29315690716770815,1.0,9,Reading/Writing,7,0.8061814947111973,0.04837088968267184,0.5116548469392139,87,0,Medium,10,8,B
S00072,0.8164022766130756,0.0,46,Visual,13,0.0,0.44902125213719185,0.3631352886599365,52,0,Medium,7,7,D
S00073,0.3337395358996407,1.0,9,Visual,3,0.7342269789792093,0.04405361873875257,0.5895658946992919,78,0,Low,2,8,B
S00074,0.09962049515296413,1.0,7,Auditory,12,0.0,0.6355787590759105,0.76558173825987,72,1,Medium,10,5,B
S00075,0.5348003640013176,1.0,22,Visual,6,0.0,0.4202002860010352,0.7330895513569309,68,0,Medium,19,9,A
S00076,0.7034234885951003,0.0,34,Auditory,3,0.7034234885951001,0.042205409315706016,0.09278736341707135,99,0,Medium,27,6,D
S00077,0.42405464582342534,0.0,31,Reading/Writing,11,0.6663715862939539,0.3465132248728561,0.5060189238791989,69,1,Low,24,5,B
S00078,0.31044674201613004,1.0,38,Kinesthetic,0,0.682982832435486,0.1639158797845167,0.640537942142727,96,1,Medium,5,6,A
S00079,0.6691868508169856,1.0,39,Reading/Writing,15,0.0,0.69930025910375,0.25133266065331344,57,1,High,13,8,D
S00080,0.45563362692727083,0.0,23,Visual,5,0.7159956994571396,0.17183896786971356,0.500219477323158,61,1,High,0,6,B
S00081,0.45564867538887577,1.0,43,Reading/Writing,16,0.8353559048796053,0.18377829907351326,0.24655695810255482,63,1,Low,23,8,D
S00082,0.2765561024430376,0.0,34,Kinesthetic,18,0.0,0.7909504529870872,0.545815081434214,61,1,Medium,25,5,C
S00083,0.3370948656066754,1.0,12,Visual,8,0.7416087043346856,0.37080435216734287,0.4459682877183122,52,1,Low,10,8,B
S00084,0.4695748650613568,0.0,28,Reading/Writing,0,0.5165323515674922,0.49587105750479277,0.5165323515674923,99,1,Medium,1,4,A
S00085,0.0,1.0,23,Reading/Writing,0,0.0,0.7097960273889076,0.7044072682070545,70,1,Medium,13,9,B
S00086,0.06700412905293275,0.0,35,Kinesthetic,9,0.7370454195822593,0.5896363356658076,0.32342462464269534,92,0,Medium,2,8,C
S00087,0.39448408759160863,1.0,5,Reading/Writing,14,0.0,0.9112582423366158,0.11828237573957343,61,0,Medium,2,5,D
S00088,0.6468470346493588,0.0,11,Visual,4,0.6468470346493586,0.3104865766316922,0.25841035827186776,80,0,Medium,18,4,C
S00089,0.4678170888714165,0.0,24,Visual,9,0.8576646629309298,0.08576646629309308,0.19545488118500312,95,1,Medium,2,10,D
S00090,0.0649318029247783,0.0,15,Reading/Writing,15,0.7142498321725606,0.1571349630779634,0.6789253578920837,54,0,High,20,10,A
S00091,0.42986918766523746,0.0,40,Auditory,15,0.6755087234739442,0.10808139575583116,0.5892527962581956,87,0,Low,28,7,A
S00092,0.5122951298774363,0.0,12,Reading/Writing,19,0.626138492072422,0.10018215873158759,0.5791958422856758,86,0,Low,26,5,A
S00093,0.9410360778176968,1.0,8,Kinesthetic,17,0.0,0.3364203978198266,0.03567094302419436,72,1,Medium,26,4,D
S00094,0.6369826488815111,0.0,12,Reading/Writing,15,0.6369826488815109,0.08917757084341159,0.42491595746247945,57,0,Medium,13,8,B
S00095,0.6753433473967726,0.0,22,Visual,6,0.0,0.6753433473967726,0.29634899401523934,87,1,Medium,19,5,C
S00096,0.06031461501912484,1.0,25,Visual,12,0.6634607652103724,0.3980764591262236,0.6306481530386734,52,1,Low,15,10,A
S00097,0.6191497238160629,0.0,16,Auditory,9,0.0,0.5278251395531938,0.581424321433275,75,0,Medium,19,9,B
S00098,0.5407380704358752,0.0,39,Reading/Writing,13,0.0,0.5948118774794626,0.5948118774794626,96,1,Medium,15,8,A
S00099,0.44979035393255135,0.0,34,Reading/Writing,17,0.0,0.8905849007864517,0.06743272203030361,95,1,Low,12,9,D
S00100,0.43995564896541794,1.0,30,Kinesthetic,7,0.0,0.48395121386195983,0.7564590204002816,80,1,Low,1,7,A
S00101,0.8417344497000716,0.0,11,Auditory,10,0.0,0.4814721052284409,0.24426978543203123,81,1,Low,0,4,D
S00102,0.43602497679273844,1.0,16,Reading/Writing,14,0.5995343430900153,0.467636787610212,0.48141107791794435,59,1,High,12,4,B
S00103,0.24162074491873511,1.0,47,Auditory,5,0.0,0.6113004846443998,0.7536120574263907,59,1,Low,29,10,C
S00104,0.0,0.0,49,Visual,6,0.0,0.9328207684827684,0.36034069141191555,59,1,Medium,19,8,C
S00105,0.9121877130025928,1.0,16,Kinesthetic,19,0.0,0.1003406484302853,0.3972975339964865,62,1,High,15,5,C
S00106,0.0816827735564156,0.0,38,Kinesthetic,0,0.8985105091205705,0.43128504437787396,0.0,68,0,Medium,27,9,D
S00107,0.32738170737595224,1.0,41,Reading/Writing,18,0.9002996952838683,0.10803596343406423,0.2657252471110976,81,1,Low,7,6,D
S00108,0.5039294867314105,0.0,46,Reading/Writing,17,0.0,0.11086448708091039,0.856600337325934,78,0,High,26,5,B
S00109,0.2027310906819554,0.0,5,Reading/Writing,20,0.743347332500503,0.19327030645013082,0.6074384222124609,54,1,Medium,14,8,B
S00110,0.3026933862753039,0.0,23,Reading/Writing,7,0.6659254498056684,0.1465035989572471,0.6659254498056685,50,1,Low,4,4,A
S00111,0.7180106526660267,1.0,10,Reading/Writing,17,0.0,0.06318493743461048,0.6931582549025083,51,1,High,17,4,C
S00112,0.4946656773363014,0.0,45,Kinesthetic,20,0.7773317786713305,0.38866588933566537,0.0,92,1,Medium,28,6,D
S00113,0.20863412139198406,0.0,48,Visual,6,0.7649917784372746,0.244797369099928,0.5579727864297004,86,1,Medium,14,7,B
S00114,0.5600062903462018,0.0,31,Reading/Writing,1,0.6844521326453575,0.3969822369343075,0.24560809524227953,58,0,Low,20,7,C
S00115,0.43958490518189053,1.0,33,Auditory,18,0.8059056595001324,0.14506301871002392,0.36910418546071844,69,0,Low,8,10,C
S00116,0.21294302656063183,0.0,23,Visual,6,0.0,0.28108479506003375,0.9357599080027188,81,1,Medium,27,10,C
S00117,0.6627891119768337,0.0,23,Visual,2,0.0,0.3791153720507488,0.6457415332157153,98,0,High,28,10,A
S00118,0.7367600249009846,1.0,13,Reading/Writing,5,0.0,0.5222809954298092,0.42942662646923546,80,1,Medium,5,8,C
S00119,0.9845541782811466,0.0,36,Kinesthetic,0,0.0,0.04332038384437054,0.16963612343104528,68,1,High,15,8,D
S00120,0.6317380150065014,1.0,16,Visual,10,0.6949118165071513,0.23627001761243158,0.24936143737915425,55,1,High,30,10,C
S00121,0.19861429157175026,0.0,15,Kinesthetic,16,0.0,0.684557258283966,0.7013798709074784,72,1,Medium,4,4,A
S00122,0.6355680288953511,,26,Auditory,0,0.635568028895351,0.29236129329186156,0.3265446913928729,79,0,Medium,2,8,C
S00123,0.9274068813992226,0.0,10,Visual,2,0.0,0.37405410883101975,0.0,75,0,Low,23,5,D
S00124,0.6271020597221909,0.0,30,Auditory,4,0.0,0.1576713750158652,0.7628123912160788,57,1,Medium,27,8,B
S00125,0.21332664638751483,0.0,48,Kinesthetic,8,0.0,0.6101142086682924,0.7630546470090589,61,1,High,11,6,A
S00126,0.5881195654707795,0.0,24,Visual,2,0.0,0.425126428754592,0.6880282670681697,70,0,High,15,7,B
S00127,0.2826094668726675,0.0,39,Kinesthetic,6,0.7771760338998356,0.21760928949195404,0.5184356263727209,52,1,Medium,20,4,B
S00128,0.5829883804131508,1.0,29,Auditory,19,0.0,0.6284614740853766,0.5149375922319972,92,0,Low,4,8,B
S00129,0.473322007731691,,40,Visual,2,0.650817760631075,0.5336705637174817,0.2599966324117669,61,1,Medium,23,7,C
S00130,0.5576636738565758,0.0,30,Reading/Writing,17,0.5576636738565757,0.46843748603952373,0.3982320622382685,52,0,Medium,2,7,B
S00131,0.4544477909111923,0.0,14,Kinesthetic,16,0.6248657125028892,0.4873952557522537,0.4067750131760667,67,1,Low,6,5,B
S00132,0.7464920707453222,1.0,32,Kinesthetic,2,0.0,0.26276520890235344,0.6113133675169091,61,0,Medium,20,8,B
S00133,0.24453430002989315,1.0,10,Kinesthetic,4,0.8966257667762746,0.14346012268420402,0.3401241003827589,88,1,High,5,4,C
S00134,0.0,1.0,15,Reading/Writing,0,0.6853340940833103,0.6442140484383118,0.33956654617575177,57,1,Medium,7,9,C
S00135,0.10829309079857383,1.0,11,Kinesthetic,17,0.5956119993921557,0.5360507994529404,0.5883608527691436,92,0,Medium,4,10,A
S00136,0.6035727548328487,,27,Reading/Writing,14,0.6639300303161333,0.43819382000864815,0.053693766622695684,74,1,High,9,9,D
S00137,0.5137280334166576,0.0,12,Visual,5,0.6278898186203593,0.2260403347033294,0.5392065007415553,52,0,Medium,19,8,A
S00138,0.0,1.0,14,Visual,2,0.7003057941410635,0.4762079400159233,0.5317873565234935,84,0,Low,7,9,B
S00139,0.31581631319854064,0.0,42,Kinesthetic,5,0.0,0.06947958890367893,0.9462730277480474,93,1,Low,16,4,B
S00140,0.7030884662524136,0.0,40,Visual,19,0.0,0.17186606952836783,0.6900207698089232,57,1,Low,21,10,B
S00141,0.5606784387867807,0.0,21,Auditory,11,0.0,0.7154256878919323,0.41690019595099,84,1,Medium,13,5,C
S00142,0.5798464411121338,1.0,17,Auditory,6,0.0,0.7087012058037191,0.4018963866744104,96,1,Low,13,9,C
S00143,0.3240987111655402,0.0,43,Auditory,14,0.7130171645641883,0.24242583595182413,0.5725349443664903,80,1,Medium,15,7,B
S00144,0.39182432335628053,0.0,7,Auditory,11,0.0,0.39652621523655596,0.830205191658403,59,1,Medium,8,8,A
S00145,0.19074145718716523,1.0,23,Visual,14,0.6993853430196055,0.5455205675552924,0.42057716159299124,96,1,High,1,6,B
S00146,0.2349219206365568,1.0,12,Reading/Writing,4,0.8613803756673747,0.44791779534703496,0.046959431757802116,93,1,Low,0,4,D
S00147,0.1727923926947428,1.0,27,Reading/Writing,14,0.950358159821085,0.24709312155348218,0.07685796230230842,73,1,Medium,27,6,D
S00148,0.16691708427271132,0.0,17,Visual,18,0.6120293089999412,0.5263452057399497,0.5661444482616791,53,1,Low,8,7,A
S00149,0.4172644992768904,1.0,42,Reading/Writing,8,0.6557013560065419,0.26228054240261683,0.5719746379441815,86,1,Low,19,8,A
S00150,0.0,0.0,35,Visual,1,0.0,0.27521735190927266,0.9613820308327213,85,1,Medium,18,6,B
S00151,0.17066344439612863,0.0,37,Reading/Writing,13,0.9386489441787069,0.03754595776714837,0.2973254940202671,80,0,Low,5,7,C
S00152,0.5454230708144254,1.0,16,Visual,2,0.5999653778958678,0.0,0.5852821705379645,68,1,Medium,11,5,A
S00153,0.550646702310307,0.0,20,Visual,11,0.6057113725413376,0.5209117803855504,0.24197698126976644,96,0,High,16,5,C
S00154,0.4757497390834361,1.0,30,Kinesthetic,18,0.0,0.3767937933540814,0.7947884140146257,77,1,Medium,23,5,B
S00155,0.516708487682214,1.0,30,Auditory,10,0.0,0.6820552037405226,0.5175065582266892,69,1,Low,13,4,D
S00156,0.2154444444711177,1.0,46,Visual,19,0.0,0.6477696297098271,0.7307381187348344,91,0,Medium,15,8,A
S00157,0.5017551668455996,0.0,36,Kinesthetic,11,0.6899133544126993,0.13798267088253993,0.5032117829332717,97,1,High,18,4,B
S00158,0.1467207038241008,0.0,45,Visual,14,0.806963871032554,0.19367132904781303,0.5383063832264762,58,1,High,19,4,B
S00159,0.7525286636599339,1.0,11,Auditory,8,0.0,0.6456695934202233,0.12965873091603802,52,0,Medium,2,5,D
S00160,0.522733287045446,1.0,42,Reading/Writing,8,0.0,0.7820089974199872,0.33942869438049866,55,1,Low,13,9,D
S00161,0.7087961585022056,1.0,15,Auditory,9,0.0,0.5528610036317203,0.43812408785165335,51,1,Medium,11,10,B
S00162,0.44088924877529756,1.0,29,Kinesthetic,18,0.5388646373920302,0.4742008809049868,0.5388646373920304,57,1,Low,29,9,A
S00163,0.0,0.0,6,Kinesthetic,4,0.0,0.0,1.0,97,1,Medium,0,4,D
S00164,0.7203653646379103,0.0,6,Auditory,8,0.0,0.2905473637372905,0.629806296297045,85,1,Medium,22,7,C
S00165,0.07614287106656897,1.0,47,Reading/Writing,11,0.8375715817322578,0.10050858980787095,0.5315770236147316,52,1,Low,7,9,B
S00166,0.5010655416959143,1.0,20,Kinesthetic,10,0.7873887083792936,0.17322551584344467,0.3145556635995289,98,1,Medium,21,4,C
S00167,0.4126730694972231,1.0,10,Reading/Writing,15,0.0,0.29506124469051453,0.8617655131144576,80,1,Low,19,4,B
S00168,0.16633330938670876,1.0,49,Visual,3,0.9148332016268976,0.34763661661822126,0.12067404930547998,56,1,High,6,9,D
S00169,0.20425822012910352,1.0,24,Visual,0,0.7489468071400459,0.31455765899881943,0.5462698406004162,74,1,Medium,12,6,B
S00170,0.7499539356046352,0.0,40,Reading/Writing,19,0.0,0.659959463332079,0.044973339097212434,74,1,Low,18,9,D
S00171,0.5323912969813316,1.0,8,Visual,1,0.5323912969813315,0.4365608635246919,0.4924770311757154,83,0,Low,3,10,A
S00172,0.26784437330155697,1.0,5,Auditory,3,0.7365720265792816,0.5303318591370828,0.32321689395171116,96,1,Low,7,4,C
S00173,0.770215413743839,1.0,35,Auditory,8,0.0,0.5836521246369981,0.25713501091474317,76,0,Low,22,4,D
S00174,0.8774039403627999,,21,Visual,9,0.0,0.4718483412617725,0.08672639900483647,98,0,High,14,6,D
S00175,0.5338983974349207,0.0,43,Reading/Writing,11,0.6525424857537919,0.2088135954412135,0.4955175959152196,99,1,High,2,6,B
S00176,0.0,1.0,16,Visual,20,0.8072989416891098,0.4197954496783372,0.41477728864657737,51,1,Medium,15,9,C
S00177,0.8126365230490206,0.0,49,Visual,7,0.0,0.41715341516516397,0.4069458313127668,63,1,High,9,6,D
S00178,0.09037454900924977,1.0,27,Reading/Writing,9,0.9941200391017463,0.05964720234610479,0.0,64,1,Low,1,5,D
S00179,0.7471113736291143,1.0,18,Visual,12,0.0,0.39447480527617235,0.5349899283129952,93,1,Medium,21,10,B
S00180,0.5535489493435176,0.0,31,Visual,0,0.5535489493435175,0.33212936960611067,0.526172218200869,61,1,Low,5,9,A
S00181,0.25091803295775716,1.0,20,Reading/Writing,19,0.9200327875117758,0.16560590175211973,0.2513055827966992,74,1,Medium,22,4,D
S00182,0.6623190940433272,1.0,39,Kinesthetic,3,0.0,0.5391277425512684,0.5202640626424233,89,1,Low,8,4,B
S00183,0.8466890367487017,1.0,26,Reading/Writing,9,0.0,0.020696843120523896,0.531685354071748,67,0,Medium,16,6,C
S00184,0.20912223710869843,1.0,39,Auditory,13,0.7667815360652274,0.306712614426091,0.5236805687134247,82,0,Low,4,10,B
S00185,0.3974434860259106,1.0,28,Auditory,12,0.874375669257003,0.262312700777101,0.0932625939911746,55,1,Medium,6,4,D
S00186,0.0,0.0,41,Reading/Writing,6,0.74829920834926,0.16462582583683727,0.6426092376019894,70,1,Low,29,8,A
S00187,0.0,0.0,21,Auditory,8,0.7975449895583477,0.5901832922731776,0.12492266068239198,55,0,Medium,30,5,D
S00188,0.5069391888612584,0.0,8,Visual,2,0.0,0.529751452360015,0.6799823950067708,74,1,Low,6,6,A
S00189,0.20728018814886554,0.0,26,Auditory,3,0.7600273565458401,0.18240656557100168,0.5883206487448026,90,0,Medium,0,10,B
S00190,0.41570914991002655,1.0,32,Auditory,8,0.0,0.8916961265570069,0.17906401247686055,60,1,Low,29,4,D
S00191,0.2750666780005775,0.0,13,Visual,16,0.6051466916012703,0.5446320224411435,0.5113822097310708,51,1,Low,22,9,A
S00192,0.5910193217431976,0.0,34,Auditory,13,0.0,0.0,0.8066574002178437,59,1,Medium,13,7,B
S00193,0.3403401729483578,1.0,17,Reading/Writing,18,0.7487483804863868,0.524123866340471,0.22099457488547283,70,1,Medium,12,4,D
S00194,0.6545971528666691,1.0,9,Auditory,5,0.0,0.3744295714397347,0.6567382001150133,91,1,High,20,8,A
S00195,0.48265993373910543,0.0,45,Kinesthetic,4,0.5899176967922399,0.41294238775456804,0.4985128722208256,57,0,Medium,2,8,A
S00196,0.7790654921722333,0.0,26,Reading/Writing,4,0.0,0.26488226733855935,0.5682379284736454,82,0,Low,15,9,B
S00197,0.14617108130471193,1.0,39,Kinesthetic,20,0.0,0.7396256714018422,0.6569534848020713,73,0,High,14,6,B
S00198,0.46926912940463494,1.0,24,Auditory,20,0.8603267372418305,0.034413069489673306,0.19606154651777388,96,1,Medium,25,10,D
S00199,0.07095949741285942,1.0,29,Kinesthetic,11,0.7805544715414527,0.4214994146323846,0.4561115106507565,98,0,Medium,12,5,C
S00200,0.739123596649009,1.0,14,Kinesthetic,2,0.0,0.34147510165184214,0.5805954390352176,65,0,Medium,26,10,B
S00201,0.5628225500205112,1.0,22,Kinesthetic,3,0.6878942278028469,0.2201261528969111,0.4019661495135378,65,1,Medium,1,9,C
S00202,0.42000137727753684,1.0,38,Auditory,1,0.0,0.5082016665058197,0.7518842392587305,77,0,Medium,14,4,B
S00203,0.2796616245381752,1.0,5,Visual,14,0.7690694674799816,0.32300917634159243,0.47538048124618243,66,0,Medium,4,9,B
S00204,0.8255723887224209,0.0,8,Visual,1,0.0,0.4540648137973315,0.33504533402265246,88,1,Low,21,5,D
S00205,0.28111687916406536,1.0,42,Reading/Writing,16,0.7730714177011796,0.43291999391266067,0.3686653797866113,89,1,High,8,10,C
S00206,0.4067787964230424,0.0,40,Visual,13,0.0,0.6413545690269967,0.6505346474776085,53,1,Medium,15,5,A
S00207,0.468920428946646,1.0,36,Kinesthetic,6,0.6447655898016381,0.21922030053255706,0.5624352632602747,68,1,High,8,10,A
S00208,0.4625813991722235,0.0,38,Reading/Writing,1,0.7269136272706366,0.4797629939986203,0.1656577713769979,74,1,Low,13,5,D
S00209,0.25851447002212674,0.0,30,Kinesthetic,15,0.7109147925608484,0.6540416091559809,0.0,75,0,Low,16,8,D
S00210,0.6022197241234272,1.0,32,Visual,15,0.7360463294841886,0.3091394583833593,0.0,71,0,Medium,4,4,D
S00211,0.0,0.0,42,Kinesthetic,17,0.713655376514644,0.6851091614540584,0.14601863053548636,73,1,Low,20,5,D
S00212,0.28634043897013,1.0,23,Reading/Writing,14,0.0,0.6456976898776432,0.7078726201069429,76,0,Low,27,10,A
